Armazéns Credenciados e Habilitados
CDA;Armazenador;Endereço;Municí­pio;UF;Tipo;Telefone;Email;Capacidade (t);Latitude;Longitude
35.0287.0002-6;COMPANHIA NACIONAL DE ABASTECIMENTO;TRAVESSA  ICÓ 180 ESTAÇÃO EXPERIMENTAL - 69.918-204;Rio Branco;AC;Convencional;(68)3221-8921;AC.UA-RIOBRANCO@CONAB.GOV.BR;890;-9.96491;-67.83002
36.0287.0002-4;COMPANHIA NACIONAL DE ABASTECIMENTO ;Rua Tobias Barreto SN Bebedouro - 57.017-690;Maceió;AL;Convencional;(82) 99600-3758;;2800;-9.624593;-35.754449
36.0287.0016-4;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA MANOEL ORÍGENES DE OLIVEIRA - PALMEIRA DOS ÍNDIOS/AL 105 PARAÍSO - 57.602-050;Palmeira dos Índios;AL;Convencional;(82)3241-0838;AL.SUREG@CONAB.GOV.BR;3200;-9.409169;-36.626944
37.0287.0022-7;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. MIN. MARIO ANDREAZZA 2196 DIST. INDUSTRIAL - 69.075-830;Manaus;AM;Convencional;(92)3613-2454;;2700;-3.109954;-59.966265
37.0287.0023-5;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. MIN. MARIO ANDREAZZA 2196 DIST. INDUSTRIAL - 69.075-830;Manaus;AM;Convencional;(92)3613-2454;;2100;-3.109954;-59.966265
39.0287.0002-9;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;(74)3641-3174;BA.UA-IRECE@CONAB.GOV.BR;2670;-11.328675;-41.865421
39.0287.0003-7;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;(74)3641-3174;BA.UA-IRECE@CONAB.GOV.BR;2670;-11.328675;-41.865421
39.0287.0004-5;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;(74)3641-3174;BA.UA-IRECE@CONAB.GOV.BR;2670;-11.328675;-41.865421
39.0287.0005-3;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;(74)3641-3174;BA.UA-IRECE@CONAB.GOV.BR;2670;-11.328675;-41.865421
39.0287.0014-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;(74)3641-3174;BA.UA-IRECE@CONAB.GOV.BR;6090;-11.328675;-41.865421
39.0287.0015-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;(74)3641-3174;BA.UA-IRECE@CONAB.GOV.BR;6320;-11.328675;-41.865421
39.0287.0032-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 242 KM 90 - LOTE 101 A 106 S/N loteamento cidade de deus - 46.880-000;Itaberaba;BA;Convencional;(75)3251-1695;BA.UA-ITABERABA@CONAB.GOV.BR;2030;-12.50933;-40.31043
39.0287.0028-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DA MIRANDELA-KM 05 S/N BA 410 - 48.400-000;Ribeira do Pombal;BA;Convencional;(75)3276-1956;BA.UA-RIBEIRAPOMBAL@CONAB.GOV.BR;3540;-10.825376;-38.547588
45.0287.0009-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. SARGENTO HERMINIO, 1071 S/N CENTRO - 63.700-000;Crateús;CE;Convencional;(88)3691-0095;CE.UA-CRATEUS@CONAB.GOV.BR;3300;-5.184696;-40.661787
45.0287.0156-9;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. CE 282 - DEP. TARCISO MONTEIRO S/N NÃO INFORMADO - 63.430-000;Icó;CE;Convencional;(88)3561-2538;CE.UA-ICO@CONAB.GOV.BR;3000;-6.40425;-38.86194
45.0287.0031-7;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA CARLOS ROBERTO COSTA 2042 ESPLANADA II - 63.505-190;Iguatu;CE;Convencional;(88)3581-1017;CE.UA-IGUATU@CONAB.GOV.BR;3500;-6.377199;-39.307481
45.0287.0038-4;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. PADRE CICERO, KM 04 S/Nº  S/N NÃO INFORMADO - 63.010-020;Juazeiro do Norte;CE;Convencional;(88)3571-4119;CE.UA-JUAZEIRODONORTE@CONAB.GOV.BR;4900;-7.22602;-39.34347
45.0287.0109-7;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. CE 01 - KM 5 - DISTRITO INDUSTRIAL S/N NÃO INFORMADO - 61.900-000;Maracanaú;CE;Convencional;(85)3293-1681;CE.UA-MARACANAU@CONAB.GOV.BR;6300;-3.84305;-38.60161
45.0287.0129-1;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. CE 01 - KM 5 - DISTRITO INDUSTRIAL S/N NÃO INFORMADO - 61.900-000;Maracanaú;CE;Convencional;(85)3293-1681;CE.UA-MARACANAU@CONAB.GOV.BR;8800;-3.84305;-38.60161
45.0287.0132-1;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. CE 01 - KM 5 - DISTRITO INDUSTRIAL S/N NÃO INFORMADO - 61.900-000;Maracanaú;CE;Convencional;(85)3293-1681;CE.UA-MARACANAU@CONAB.GOV.BR;6300;-3.84305;-38.60161
45.0287.0141-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. CE 01 - KM 5 - DISTRITO INDUSTRIAL S/N NÃO INFORMADO - 61.900-000;Maracanaú;CE;Convencional;(85)3293-1681;CE.UA-MARACANAU@CONAB.GOV.BR;8800;-3.84305;-38.60161
45.0287.0093-7;COMPANHIA NACIONAL DE ABASTECIMENTO;BR 116, KM 04 -  S/N NÃO INFORMADO - 62.900-000;Russas;CE;Convencional;(88)3411-2737;CE.UA-RUSSAS@CONAB.GOV.BR;3500;-4.927;-37.97711
45.0287.0061-9;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA SAMUEL SAMBRAIA, 114 - CENTRO S/N NÃO INFORMADO - 63.600-000;Senador Pompeu;CE;Convencional;(88)3449-0167;CE.UA-SENADORPOMPEU@CONAB.GOV.BR;3200;-5.59316;-39.37777
45.0287.0062-7;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GALDINO ARAUJO, 149 - BAIRRO ALTO CRISTO S/N NÃO INFORMADO - 62.030-430;Sobral;CE;Convencional;(88)3411-2737;CE.UA-SOBRAL@CONAB.GOV.BR;4800;-3.683626;-40.35902
46.0287.0001-3;COMPANHIA NACIONAL DE ABASTECIMENTO;SIA SUL TRECHO 05 LOTES 300/400 S/N SETOR-INDUSTRIA - 70.310-500;Brasília;DF;Convencional;(61) 2109-2628;UA.BRASILIA@CONAB.GOV.BR;8350;-15.79561;-47.95275
46.0287.0004-8;COMPANHIA NACIONAL DE ABASTECIMENTO;SIA SUL TRECHO 05 LOTE 100 S/N SETOR DE INDUSTRIAS E ABASTECIMENTO - 71.205-050;Brasília;DF;Bateria de Silos;(61) 2109-2628;UA.BRASILIA@CONAB.GOV.BR;25800;-15.7968;-47.95188
46.0287.0005-6;COMPANHIA NACIONAL DE ABASTECIMENTO;SIA SUL TRECHO 05 LOTES 300/400 S/N SETOR-INDUSTRIA - 70.310-500;Brasília;DF;Convencional;(61) 2109-2628;UA.BRASILIA@CONAB.GOV.BR;7800;-15.79681;-47.95315
46.0287.0007-2;COMPANHIA NACIONAL DE ABASTECIMENTO;SIA SUL TRECHO 05 LOTES 300/400 S/N SETOR-INDUSTRIA - 70.310-500;Brasília;DF;Convencional;(61) 2109-2628;UA.BRASILIA@CONAB.GOV.BR;6200;-15.79782;-47.95354
46.0287.0009-9;COMPANHIA NACIONAL DE ABASTECIMENTO;SIA SUL TRECHO 05 LOTES 300/400 S/N SETOR-INDUSTRIA - 70.310-500;Brasília;DF;Convencional;(61) 2109-2628;UA.BRASILIA@CONAB.GOV.BR;14900;-15.79707;-47.95393
47.0287.0015-1;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA  DOMINGOS ALCINO DADALTO 223 IBC - 29.315-314;Cachoeiro de Itapemirim;ES;Convencional;(28)3517-9043;;27500;-20.856506;-41.14888
47.0287.0007-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 259 KM 50 S/N BEIJAMIM CARLOS DOS SANTOS - 29.700-000;Colatina;ES;Convencional;(27) 37214 911 ;es.ua-colatina@conab.gov.br;2920;-19.517929;-40.610616
47.0287.0011-9;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 259 KM 50 S/N BEIJAMIM CARLOS DOS SANTOS - 29.700-000;Colatina;ES;Convencional;(27) 37214 911 ;es.ua-colatina@conab.gov.br;40820;-19.51792;-40.61061
47.0287.0017-8;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 259 KM 50 S/N BEIJAMIM CARLOS DOS SANTOS - 29.700-000;Colatina;ES;Convencional;(27) 37214 911 ;es.ua-colatina@conab.gov.br;30860;-19.517929;-40.610616
48.0287.0279-9;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. PROF VENERANDO F. BORGES N. 150 SETOR JAO - 74.673-010;Goiânia;GO;Convencional;(61)3312-6450;GO.UA-GOIANIA@CONAB.GOV.BR;6700;-16.64659;-49.24028
48.0287.0056-7;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA SAO BENEDITO S/N. - SETOR INDL S/N CENTRO - 75.620-000;Pontalina;GO;Bateria de Silos;(64)3471-1426;;14000;-17.519292;-49.456498
48.0287.0064-8;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 452 KM 01 S/Nº S/N NÃO INFORMADO - 75.901-040;Rio Verde;GO;Bateria de Silos;(64)3612-1130;go.ua-rioverde@conab.gov.br;41060;-17.787996;-50.901354
48.0287.0068-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 452 KM 01 S/Nº S/N NÃO INFORMADO - 75.901-040;Rio Verde;GO;Convencional;(64)3612-1130;go.ua-rioverde@conab.gov.br;7750;-17.789011;-50.89913
