Base Personalizada
CDA;Armazenador;Endereço;Município;UF;Tipo;Email;Capacidade (t);Latitude;Longitude;Estoque Inicial;Capacidade de Recepção
56.F764.0007-3      ;INPASA AGROINDUSTRIAL S/A;ROD. BR 163 KM 817 ARMAZÉM  04 ZONA RURAL - 78559899;SINOP;MT        ;GRANELEIRO                                        ;fabio.baldus@inpasa.com.br;3438;-12.025;-55.50997;0;3438
56.F785.0002-4      ;CHARLES BOCOLLI E MARCELO BOCOLLI LTDA;ROD MT 242 KM 75  ZONA RURAL - 78888000;NOVA UBIRATÃ;MT        ;GRANELEIRO                                        ;ricardo@bocolli.com.br;2600;-13.03854;-55.29785;0;2600
55.F764.0001-6      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 243 AREA RURAL DE DOURADOS ZONA RURAL - 79849899;DOURADOS;MS        ;GRANELEIRO                                        ;andre.teixeira@inpasa.com.br;2187;-22.36885;-54.80108;0;2187
55.F764.0002-4      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 243 AREA RURAL DE DOURADOS ZONA RURAL - 79849899;DOURADOS;MS        ;GRANELEIRO                                        ;andre.teixeira@inpasa.com.br;2187;-22.36885;-54.80108;0;2187
55.F764.0003-2      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 243 AREA RURAL DE DOURADOS ZONA RURAL - 79849899;DOURADOS;MS        ;GRANELEIRO                                        ;andre.teixeira@inpasa.com.br;2187;-22.36885;-54.80108;0;2187
55.F764.0004-0      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 243 AREA RURAL DE DOURADOS ZONA RURAL - 79849899;DOURADOS;MS        ;GRANELEIRO                                        ;andre.teixeira@inpasa.com.br;2187;-22.36885;-54.80108;0;2187
55.6751.0001-9      ;NEOMILLE S.A.;RODOVIA MS 157 KM 28  ZONA RURAL - 79150000;MARACAJU;MS        ;GRANELEIRO                                        ;silas.gaia@cerradinho.com.br;2149;-21.77366;-54.95869;0;2149
56.F764.0001-4      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 603  ARMAZEM  Nº 03 DISTRITO INDUSTRIAL - 78450000;NOVA MUTUM;MT        ;GRANELEIRO                                        ;fiscal@inpasa.com.br;2080;-13.77923;-56.0531;0;2080
56.F764.0002-2      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 603  ARMAZEM  Nº 03 DISTRITO INDUSTRIAL - 78450000;NOVA MUTUM;MT        ;GRANELEIRO                                        ;fiscal@inpasa.com.br;2080;-13.77923;-56.0531;0;2080
56.F764.0003-0      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 603  ARMAZEM  Nº 03 DISTRITO INDUSTRIAL - 78450000;NOVA MUTUM;MT        ;GRANELEIRO                                        ;fiscal@inpasa.com.br;2080;-13.77923;-56.0531;0;2080
56.F764.0004-9      ;INPASA AGROINDUSTRIAL S/A;ROD. BR 163 KM 817 ARMAZÉM  04 ZONA RURAL - 78559899;SINOP;MT        ;GRANELEIRO                                        ;fabio.baldus@inpasa.com.br;2047;-12.02344;-55.51224;0;2047
56.F764.0005-7      ;INPASA AGROINDUSTRIAL S/A;ROD. BR 163 KM 817 ARMAZÉM  04 ZONA RURAL - 78559899;SINOP;MT        ;GRANELEIRO                                        ;fabio.baldus@inpasa.com.br;2047;-12.025;-55.50997;0;2047
56.F764.0006-5      ;INPASA AGROINDUSTRIAL S/A;ROD. BR 163 KM 817 ARMAZÉM  04 ZONA RURAL - 78559899;SINOP;MT        ;GRANELEIRO                                        ;fabio.baldus@inpasa.com.br;2047;-12.02344;-55.51224;0;2047
56.A873.0018-1      ;COFCO INTERNATIONAL BRASIL S.A;RUA B  PARQUE INDUSTRIAL INTERMODAL - 78750899;RONDONÓPOLIS;MT        ;GRANELEIRO                                        ;luiznobre@cofcointernational.com;2000;-16.69862;-54.66727;0;2000
56.5104.0067-7      ;BUNGE ALIMENTOS S/A;ROD BR 163 KM 782.5 GLEBA ATLANTICA ZONA RURAL - 78890000;SORRISO;MT        ;GRANELEIRO                                        ;sorrisofabrica.silo@bunge.com;1986;-12.32408;-55.58339;0;1986
55.8684.0004-9      ;SEARA ALIMENTOS LTDA;ROD. BR 163 DOURADOS CAMPO GRANDE, KM 07  ZONA RURAL - 79804970;DOURADOS;MS        ;BATERIA DE SILOS                                  ;;1627;-22.22069;-54.71833;0;1627
55.F764.0005-9      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 243 AREA RURAL DE DOURADOS ZONA RURAL - 79849899;DOURADOS;MS        ;CHAPÉU CHINES                                     ;andre.teixeira@inpasa.com.br;1618;-22.36885;-54.80108;0;1618
56.D757.0002-9      ;AGROPECUÁRIA MAGGI LTDA;ROD BR 364 ENTRONCAMENTO COM ROD MT 170 FAZENDA ITAMARATI ZONA RURAL - 78360000;CAMPO NOVO DO PARECIS;MT        ;BATERIA DE SILOS                                  ;aguinaldo.oliveira@amaggi.com.br;1538;-14.317222;-57.956111;0;1538
56.3566.0022-5      ;LOUIS DREYFUS COMPANY BRASIL S.A.;RODOVIA MT 430 KM 06 6 KM, SAÍDA DE CONFRESA P/ DIST. STºDO  FONTOURA - SÃO JOSÉ DO XINGÚ ZONA RURAL - 78652000;CONFRESA;MT        ;GRANELEIRO                                        ;felipe.texeira@ldc.com;1532;-10.6142;-51.6104;0;1532
